titulo,autor
Editorial,"Brigida Maria Nogueira Cervantes,Rogerio Paulo Müller Fernandes"
A biblioteca do futuro: um olhar no passado,"Deise Lourenço de Jesus,Murilo Bastos da Cunha"
Dados governamentais abertos em aplicativos brasileiros,"Patrícia Nascimento Silva,Marta Macedo Kerr Pinheiro"
Encontrabilidade da Informação em Repositórios de Dados: uma análise do DataONE,"Fernanda Alves Sanchez,Fernando Luiz Vechiato,Silvana Aparecida Borsetti Gregorio Vidotti"
Atuação dos profissionais da informação no Ciclo de Vida dos Dados – DATAONE: um estudo comparado,"Renata Lemos dos Anjos,Guilherme Ataíde Dias"
Cientificidade da Organização da Informação: uma análise epistemológica a partir da comunidade brasileira,"Daniel Abraão Pando,Carlos Cândido de Almeida"
Um estudo das contribuições de Schopenhauer para a Ciência da Informação: o mundo como vontade e representação,"Janailton Lopes Sousa,Rogério Aparecido Sá Ramalho"
O aspecto icônico da linguagem visual,"Fábio Rogério Batista Lima,Plácida Leopoldina Ventura Amorim da Costa Santos"
Política de indexação e seus sentidos: um estudo a partir da Análise do Discurso,"Valdenise César Garcia,Franciele Marques Redigolo,Thiago Henrique Bragato Barros,João Batista Ernesto de Moraes"
Linguagens de indexação em bibliotecas universitárias: estudo analítico,"Mariângela Spotti Lopes Fujita,Maria Carolina Andrade e Cruz,Bruna Otreira Muniz Patrício,Luciana Beatriz Piovezan Rio Branco"
O assunto “classificação” na literatura brasileira de Ciência da Informação: uma análise nos anais do ENANCIB (2003-2014),"Walter Moreira,Isabela Santana de Moraes"
Diagnóstico da produção intelectual da Pós-graduação em Ciência da Informação da UFSCAR no momento de sua implementação: desafios e potencialidades,"Vanessa Dionello,Luciana de Souza Gracioso,Roniberto Morato do Amaral,Marcela Bassoli"
Atores do sistema de comunicação científica: apontamentos para discussão de suas funções,"Marilia Augusta de Freitas,Fernando César Lima Leite"
Knowledge creation and knowledge transfer: an perspective under the kibs vision for evaluating the innovative capacity,"Ronnie J-Figueiredo,Júlio Vieira Neto,João J.M. Ferreira,Osvaldo Luiz Gonçalves Quelhas,Gilson Brito Alves Lima"
"Avaliação da aplicação do método ""análise de conteúdo"" em pesquisa sobre processos de gestão da informação e do conhecimento como subsídios para a geração de inovação","Elaine da Silva,Marta Lígia Pomim Valentim"
Inteligencia Organizacional: aproximación teórica a su concepción y desarrollo,"Sailys Uria López,Yunier Rodríguez-Cruz"
Perfil e lugar dos arquivos privados institucionais em entidades custodiadoras cariocas,"Gabriela Ayres Ferreira Terrada,Vitor Manoel Marques da Fonseca"
A arte da destruição controlada: reflexões sobre avaliação arquivística e memória,Francisco Alcides Cougo Junior
Oferta de emprego: habilidades necessárias para Arquivistas em empresas no Brasil,"Eliana Maria dos Santos Bahia Jacintho,José Antonio Moreiro Gonzalez"
A biblioteca pública como ambiente de mediação da informação para o usuário da terceira idade,"Raquel do Rosário Santos,Iveth da Costa Ribeiro,Ana Claudia Medeiros de Sousa"
Competência em informação e necessidades de informação de idosos: o papel do profissional da informação nesse contexto,"Djuli Machado De Lucca,Elizete Vieira Vitorino"
Competência em informação no âmbito da comunidade LGBTQ: um levantamento das publicações científicas nacionais e internacionais,"Selma Leticia Capinzaiki Ottonicar,Jean Fernandes Brito,Rafaela Carolina Silva,Everaldo Henrique dos Santos Barbosa,Cassia Regina Bassan de Moraes"
"Informação & Informação, Londrina, v. 24, n. 1, jan./abr. 2019.",
