Título, Ano, Proposta, Mercado
Cathode Ray Tube Amusement device,1947,,Scientific Research
COMBAT SIMULATION GAME,1950,Training,Military & Defence
Berthie the brain,1950,Marketing & Communication message broadcasting,"Entertainment
Advertising"
Nimrod,1951,Marketing & Communication message broadcasting,"Entertainment
Corporate"
Oxo,1952,,Scientific Research
Carmonette (Combined ARms Computer MOdel),1953,Training,Military & Defence
POOL (MIDSAC),1954,Training,Scientific Research
Hutspiel,1955,Training,"Military & Defence
Corporate"
Tennis for two,1958,Marketing & Communication message broadcasting,Scientific Research
Navy Electronic Warfare Simulator,1958,Training,Military & Defence
THE MANAGEMENT GAME,1958,"Educative message broadcasting
Training",Corporate
Healthkit EC-1,1960,Training,Education
T.E.M.P.E.R.,1961,Training,Military & Defence
Lunar Landing Game,1969,Marketing & Communication message broadcasting,"Entertainment
Education
Corporate"
The logo Turtle,1969,Training,Education
SPACE TRAVEL,1969,Training,Scientific Research
Rocket,1971,,"Education
Scientific Research"
LEM,1971,,"Education
Scientific Research"
The Oregon Trail,1971,Educative message broadcasting,Education
The oregan trail,1971,Educative message broadcasting,"State & Governement
Education"
Fun Zoo,1972,Educative message broadcasting,"Entertainment
Education
Ecology"
"Roulette, States",1972,Educative message broadcasting,"Entertainment
Education"
Percepts,1972,Training,"Entertainment
Education"
Moonlander,1973,Marketing & Communication message broadcasting,"Entertainment
Corporate"
Interplanetary Voyage,1973,Educative message broadcasting,"Entertainment
Ecology"
Lemonade stand,1973,Educative message broadcasting,Education
Basic Math,1977,Training,"Entertainment
Education"
"Videocart-6: Math Quiz I - Addition, Subtraction",1977,Educative message broadcasting,"Entertainment
Education"
"Videocart-7: Math Quiz II - Multiplication, Division",1977,Educative message broadcasting,"Entertainment
Education"
DATAMAN,1977,Educative message broadcasting,Education
Back to School Pak,1978,Educative message broadcasting,"Entertainment
Education"
Math-A-Magic! / Echo!,1978,Educative message broadcasting,"Entertainment
Education"
Charity,1978,Subjective message broadcasting,Culture & Art
Bop,1978,Educative message broadcasting,"Entertainment
Education"
Est,1978,Educative message broadcasting,"Entertainment
Education"
Mad,1978,Educative message broadcasting,"Entertainment
Education"
Dictée magique,1978,Training,Education
Beginning grammar,1978,"Educative message broadcasting
Training",Education
Math Fun,1979,Training,"Entertainment
Education"
Number Magic,1979,Educative message broadcasting,"Entertainment
Education"
E.S.P.,1979,"Educative message broadcasting
Storytelling","Entertainment
Education"
Computer Intro!,1979,Educative message broadcasting,"Entertainment
Education"
I've Got Your Number!,1979,Educative message broadcasting,"Entertainment
Education"
Add,1979,Educative message broadcasting,"Entertainment
Education"
States,1979,Educative message broadcasting,"Entertainment
Education"
Titrator,1979,Educative message broadcasting,"Entertainment
Education"
THREE MILE ISLAND,1979,Training,"Entertainment
Education"
Windfall: The Oil Crisis Game,1980,"Educative message broadcasting
Informative message broadcasting","Entertainment
Education"
Word Fun,1980,Training,"Entertainment
Education"
Buggy,1980,Educative message broadcasting,"Entertainment
Education"
Mega 10000,1980,"Educative message broadcasting
Informative message broadcasting
Training","Entertainment
Education
Culture & Art"
Donuts,1980,Educative message broadcasting,"Entertainment
Education"
Drag!,1980,Educative message broadcasting,"Entertainment
Education"
Epidemic,1980,Educative message broadcasting,"Entertainment
Ecology"
European Countries & Capitals,1980,Educative message broadcasting,"Entertainment
Education"
Life,1980,Goods trading,"Entertainment
Scientific Research"
Life II,1980,Goods trading,"Entertainment
Scientific Research"
Flight Simulator,1980,Training,"Entertainment
State & Governement
Military & Defence
Education
Corporate"
Mwhiz!,1980,Educative message broadcasting,"Entertainment
Education"
PET Nuclear Power Plant,1980,Educative message broadcasting,"Entertainment
Education"
Ruler,1980,Educative message broadcasting,"Entertainment
Education"
Simulation of Millikan Oil Drop Experiment,1980,Educative message broadcasting,"Entertainment
Education"
States & Capitals,1980,Educative message broadcasting,"Entertainment
Education"
Battlezone,1980,,"Entertainment
Military & Defence"
ENERGY CZAR,1980,Training,"Entertainment
Education"
The Bradley Trainer,1981,Training,Military & Defence
My First Alphabet,1981,Educative message broadcasting,"Entertainment
Education"
Cartels & Cutthroats,1981,Educative message broadcasting,"Entertainment
Education"
ARITHMETIC GAMES SET 1,1981,Training,"Entertainment
Education"
Le Homard Infernal,1981,"Educative message broadcasting
Training","Entertainment
Education"
Keyboard Creations!,1981,"Educative message broadcasting
Training","Entertainment
Education"
Polybius,1981,Subjective message broadcasting,Politics
The Worlds Greatest Blackjack Program,1981,Educative message broadcasting,"Entertainment
Education"
MasterType,1981,Educative message broadcasting,Education
Bumble Plot,1982,Educative message broadcasting,"Entertainment
Education"
Moptown Parade,1982,Educative message broadcasting,"Entertainment
Education"
Eli's Ladder,1982,Educative message broadcasting,"Entertainment
Education"
Car Builder,1982,Educative message broadcasting,Education
Demolition Division,1982,Educative message broadcasting,"Entertainment
Education"
Dragon's Keep,1982,Educative message broadcasting,"Entertainment
Education"
Great Britain Limited,1982,Informative message broadcasting,"Entertainment
Humanitarian & Caritative"
Jabbertalky,1982,Educative message broadcasting,"Entertainment
Education"
Math Gran Prix,1982,Training,"Entertainment
Education"
Nimble Numbers Ned,1982,Educative message broadcasting,"Entertainment
Education"
Rocky's Boots,1982,Educative message broadcasting,"Entertainment
Education"
Sid the Spellbinder,1982,Educative message broadcasting,"Entertainment
Education"
Snooper Troops,1982,Educative message broadcasting,"Entertainment
Education"
Snooper Troops: Case #2 - The Case of the Disappearing Dolphin,1982,Educative message broadcasting,"Entertainment
Education"
Story Machine,1982,Educative message broadcasting,"Entertainment
Education"
Type Attack,1982,Training,"Entertainment
Education"
Alien Garden,1982,Educative message broadcasting,"Entertainment
Ecology"
Function Machine,1982,Educative message broadcasting,"Entertainment
Education"
Invaders Addition,1982,Educative message broadcasting,"Entertainment
Education"
ladder Mult.,1982,Educative message broadcasting,"Entertainment
Education"
Mix and Match,1982,"Educative message broadcasting
Licensed title","Entertainment
Education"
Word Zapper,1982,Training,"Entertainment
Education"
Des chiffres et des lettres,1982,Educative message broadcasting,Education
Pole Position,1982,Marketing & Communication message broadcasting,"Entertainment
Advertising"
Pepsi Invaders,1983,Marketing & Communication message broadcasting,Corporate
Chase the Chuckwagon,1983,Marketing & Communication message broadcasting,"Entertainment
Advertising"
Donkey Kong Jr. Math,1983,Educative message broadcasting,"Entertainment
Education"
Kool Aid Man,1983,Marketing & Communication message broadcasting,"Entertainment
Corporate
Advertising"
Tooth Protectors,1983,Marketing & Communication message broadcasting,"Entertainment
Healthcare
Corporate"
Tapper / Budweiser,1983,Marketing & Communication message broadcasting,"Entertainment
Corporate"
Bumble Games,1983,Educative message broadcasting,"Entertainment
Education"
Juggles' Butterfly,1983,Educative message broadcasting,"Entertainment
Education"
Granny's Garden,1983,"Educative message broadcasting
Storytelling","Entertainment
Education"
Plaque Attack,1983,Informative message broadcasting,"Entertainment
Healthcare"
Kool-Aid Man,1983,"Marketing & Communication message broadcasting
Licensed title","Entertainment
Advertising"
ABC,1983,Educative message broadcasting,"Entertainment
Education"
Adventures in Math,1983,Educative message broadcasting,"Entertainment
Education"
Alpha Beam with Ernie,1983,"Educative message broadcasting
Licensed title","Entertainment
Education"
Alphabet Zoo,1983,Educative message broadcasting,"Entertainment
Education"
Berenstain Bears,1983,"Educative message broadcasting
Licensed title","Entertainment
Education"
Big Bird's Egg Catch,1983,"Educative message broadcasting
Licensed title","Entertainment
Education"
Rolloverture,1983,"Educative message broadcasting
Training","Entertainment
Culture & Art"
Crypto Cube,1983,Educative message broadcasting,"Entertainment
Education"
Facemaker,1983,Educative message broadcasting,"Entertainment
Education"
